Escuela,Cant. Reservas,Años,Cant. Años,Último Año,Contacto (último),Teléfono (último),Email,Niveles,Total Chicos,Sección,Otros Contactos,Otros Teléfonos
5 DIST 10,1,2017,1,2.017,JULIA BIBLIOT,4787 2691,,2,45,Teatro,,
5 DIST 17,1,2018,1,2.018,ALEJANDRA,4501 1166,,123,70,Teatro,,
5 DIST 20,1,2018,1,2.018,SILVIA,4687 0134  156814 4963,,567,75,Teatro,,
5 DIST10,1,2019,1,2.019,JULIETA,4787 2691  1565 714811,,3,54,Teatro,,
503 V LOPEZ,1,2017,1,2.017,SANDRA (CIEGOS),,,,8,Teatro,,
504 SAN Isidro,1,2019,1,2.019,EUGENIA NATALIA,15369 10829       2 X 1,,ESP,10,Teatro,,
505 SAN ISIDRO,1,2019,1,2.019,GABRIELA,15311 97763,,ESP,10,Teatro,,
53 SOLANO,1,2017,1,2.017,PAULA,152293 6234,,5,50,Teatro,,
6 DIST 11,1,2018,1,2.018,SABRINA,4631 5978 15630842 20,,12,73,Teatro,,
6 DIST 15,1,2019,1,2.019,ANALIA,5197 6259  1554 732 795,,J,50,Teatro,,
6 DIST 16,1,2018,1,2.018,MARCELA,4572 4858  15610 35160,,5,50,Teatro,,
6 SE SAN ISIDRO,1,2019,1,2.019,EUGENIA,1561139430,,esp,10,Teatro,,
6 dist 14,1,2019,1,2.019,CLAUDIA,11636 29752,,123,39,Teatro,,
60 DE TABLADA,1,2018,1,2.018,LAURA,4699 6406   113881 1346,,4,70,Teatro,,
65 FLORENCIO VARELA,1,2019,1,2.019,TATIANA KARINA ROMERO VICE,4237 7242  1140288854,,6,65,Teatro,,
68 LAFERRERE,1,2019,1,2.019,CLAUDIA GABRIELA,1562411651   1559287183,,3,45,Teatro,,
7 BERAZATEGUI,1,2017,1,2.017,PAULA,1522936 234,,5,25,Teatro,,
7 DIST 13,1,2018,1,2.018,ALEJANDRA,4683 3331  117009 4610,,6,90,Teatro,,
7 DIST 18,1,2018,1,2.018,VERONICA,4674 0880  153465 7886,,J,23,Teatro,,
7 DIST 9  SEÑA F,1,2024,1,2.024,TAMY 5 ENT. PAGAS,1166753222,,J,23,Teatro,,
7 DIST 9 90.000,1,2025,1,2.025,JOSEFINA,1135850211,,1,25,Teatro,,
7 DIT 12,1,2022,1,2.022,SILVIA TOÑACA,1524887658,,2,55,Teatro,,
701 HURLINGHAN,1,2019,1,2.019,MIRIAM,156741 9452,,SEC,20,Teatro,,
702 merlo,1,2017,1,2.017,ADRIANA,0220 4826563,,SEC ESP,200,Teatro,,
8 DIST 10,1,2018,1,2.018,ALEJANDRA,4781 1715  153236 8451,,5,33,Teatro,,
8 DIST 15 $90.000,1,2025,1,2.025,Antonella,1137679149,,3,23,Teatro,,
8 DIST 20,1,2018,1,2.018,NATALIA,4641 1594  1551065 1541,,4,40,Teatro,,
8 VTE LOPEZ,1,2018,1,2.018,MARIA CALVO,4718 2566   15346 77859,,1,31,Teatro,,
8 dist 18,1,2018,1,2.018,MARIANA,15561 9229,,4,41,Teatro,,
85 SAN MARTIN,1,2017,1,2.017,SILVIA,,,2,40,Teatro,,
9 CAJONES,1,2017,1,2.017,2,228,,,204,Teatro,,
9 DIST 16 (JULIAN),1,2017,1,2.017,LUCILA 4572 1175,4572 3558,,2,24,Teatro,,
90000,1,2025,1,2.025,SIVIA - MONICA,1140818938,,3,53,Teatro,,
909 MORON,1,2017,1,2.017,MARCELA,156130 3874,,J,31,Teatro,,
912 VTE LOPEZ,1,2019,1,2.019,ELENA,4730 0054  155704 6524,,J,20,Teatro,,
A DESCUBRIR,1,2018,1,2.018,MALENA,15321 97339,,2,40,Teatro,,
A MANZONI  $90.000,1,2025,1,2.025,ADELINA,1130349929,,1,28,Teatro,,
ABC JARDIN,1,2017,1,2.017,VICTORIA,4544 5761,,J,70,Teatro,,
AGUSTIN ROSCELLI,1,2017,1,2.017,ELIZABETH (LA PLATA),0221 4505356,,5,71,Teatro,,
ALBERT SCHWEITZER,1,2018,1,2.018,BARBARA,154046 4382,,2,26,Teatro,,
ALDEA,1,2024,1,2.024,VICKY,1153879154,,,,Viajera,,
ALEGRIA,1,2025,1,2.025,ANDY,1131259674,,,,Viajera,,
ALEGRÍA  CAMJNITO,1,2025,1,2.025,VANA,1158270814,,,,Viajera,,
ALEMAN,1,2017,1,2.017,ESTELA,4751 0376,,3,70,Teatro,,
ALETEHIA,1,2017,1,2.017,GERMAN,,,4,47,Teatro,,
AMBROSIO TOGNONI,1,2019,1,2.019,CAMILA,15329 39958,,2,25,Teatro,,
ANDERSEN PACHECO,1,2022,1,2.022,ERIKA,1164677065,,2,72,Teatro,,
ANGEL PEÑALOZA LAFERRE,1,2019,1,2.019,SILVIA,4457 3508  153870 24566,,SEC,90,Teatro,,
ANYI EDUC,1,2019,1,2.019,PAULA,4757 3834  115867 0927,,2,15,Teatro,,
ARABE ISLAMICO,1,2017,1,2.017,NATALIA,4611 2087,,J,44,Teatro,,
ARGENTINA MODELOS,1,2018,1,2.018,CORA,4880 6556  1550098167,,J,40,Teatro,,
ARMENIO,1,2017,1,2.017,ESTELA,156104 4632,,2,36,Teatro,,
ASUNCION DE MARIA,1,2019,1,2.019,MARTIN LOPEZ TURISMO,154023 9423,,123,78,Teatro,,
AYELEN,1,2018,1,2.018,CARLOS MUÑOZ,4275 1618  156451 3770,,6,60,Teatro,,
B F MORENO,1,2018,1,2.018,ADRIANA,4641 6945  15600 77423,,123,60,Teatro,,
BALDOMERO F MORENO,1,2018,1,2.018,ADRIANA,4641 6945  15600 77423,,123,75,Teatro,,
BALLESTER,1,2017,1,2.017,CLAUDIA INT 144,4768 0760,,1,71,Teatro,,
BAYARD  fact enviada,1,2019,1,2.019,AGUSTINA,4792 8585,,3,52,Teatro,,
BELGRANO ESCOBAR,1,2019,1,2.019,JESICA,03484 424155  03484 154536929,,1,63,Teatro,,
BELGRANO UNO,1,2017,1,2.017,LAURA,4786 5629,,12,37,Teatro,,
BENITO NAZAR,1,2018,1,2.018,PATRICIA,4862 4993  156578 3731,,23,103,Teatro,,
BERNACONI ESC 3,1,2017,1,2.017,GABRIELA INT 218,4941 1696,,4,50,Teatro,,
C CULT ITALINO,1,2017,1,2.017,MARIA EUGENIA INT 210,4790 4148,,J,56,Teatro,,
C DE PUERTA ABIERTA,1,2017,1,2.017,GABRIELA,1560 391285,,2,56,Teatro,,
C. CULT ITALIANO,1,2018,1,2.018,FLORENCIA,4766 7398  1557573223,,2,40,Teatro,,
C.CULT ITALIANO,1,2017,1,2.017,SOLEDAD SONIA,4766 7398,,1,42,Teatro,,
CABRINI,1,2018,1,2.018,SANDRA,4581 0272  1531887164,,1,60,Teatro,,
CAMINITO CRIOLLO Y ALEGRÍA,1,2025,1,2.025,FIORE BIANCHI,1157170041,,,,Viajera,,
CAMINITO Y ALEGRIA,1,2025,1,2.025,MARIANA LOPEZ,1160480152,,,,Viajera,,
CARDENAL COPELO,1,2019,1,2.019,MARCELA,4501 3029  115385 9890,,1,105,Teatro,,
CARLA GALLARDO,1,2025,1,2.025,CARLITA,1137974559,,,3,Teatro,,
CASA DE JESUS,1,2017,1,2.017,GERMAN,4862 5254,,1,59,Teatro,,
CASITA DE ANGIE,1,2017,1,2.017,LUZ,4572 2184,,J,46,Teatro,,
CASITA DE ANI,1,2018,1,2.018,MARIA FERNAN,4544 1881,,J,25,Teatro,,
CASITA DE ANIE,1,2019,1,2.019,MARIA FERNANDA,4544 1881  1557395444,,J,29,Teatro,,
CCI DAMICI  $90.000,1,2025,1,2.025,ANITA,1160161197,,1,27,Teatro,,
CCITALIANO,1,2022,1,2.022,ALE,1133682861 /47667398,,1,36,Teatro,,
CEFERINO NAMUNCURÁ,1,2025,1,2.025,MARIAN,1158125773,,3,56,Teatro,,
CENTES,1,2017,1,2.017,VIVIANA,4567 1439,,J,20,Teatro,,
CENTES 3,1,2019,1,2.019,VIVIANA,4587 6050  155454 2061,,ESP,20,Teatro,,
CENTRO SNA JAVIER,1,2024,1,2.024,AMGELES,1161111839,,1,54,Teatro,,
CHOCOLATE,1,2025,1,2.025,GUADALUPE,1163747264,,,,Viajera,,
CINDERELLA,1,2018,1,2.018,JUANA Y ANGIE,4812 1178    1562155361,,J,37,Teatro,,
COELGIO ALAS,1,2024,1,2.024,CECILIA VICE,1131687238,CVERDICCHIO@PINITOS-ALAS.EDU.AR,,,Viajera,,
COL AMERICANO $90.000,1,2025,1,2.025,TAMY,1165642442,,3,56,Teatro,,
COL DE LA CIUDAD,1,2024,1,2.024,ZARATE PAOLA,3487 615668,,5,61,Teatro,,
COL. AMERICANO $90.000,1,2025,1,2.025,TAMY,1165642442,,3,56,Teatro,,
COLE DEL TREBOL,1,2017,1,2.017,LAURA,4581 4640,,J,24,Teatro,,
COLE YAGO,1,2019,1,2.019,MALENA,,,1,28,Teatro,,
COLEGIO CIUDAD,1,2018,1,2.018,FLORENCIA,4758 6838 15661 0266,,3,50,Teatro,,
COLEGIO DEL ARCE,1,2019,1,2.019,DOLORES,4772 1902  1164629656,,123,66,Teatro,,
COLEGIO DEL FARO,1,2024,1,2.024,ANA OTTONE,3327527897,,,,Viajera,,
COLEGIO GRAL BELGRANO                    JULIAN,1,2025,1,2.025,EUGENIA,1545781234,,,,Viajera,,
COLEGIO MODELO BELLA VISTA,1,2025,1,2.025,CLAUDIA ROSALES,1134463553,,,,Viajera,,
COLEGIO NUEVA ERA $90.000,1,2025,1,2.025,LILIANA,1130849003,,5,69,Teatro,,
COLEGIO NUEVOS AYRES,1,2025,1,2.025,PAULA BESADA,1164790926,,2,45,Teatro,,
COLEGIO YAGO,1,2017,1,2.017,MALENA FALETI,,,,30,Teatro,,
COLINAS DEL NORTE,1,2017,1,2.017,SILVINA GARCIA,02304 666008,,3,31,Teatro,,
COMP DE MARIA,1,2017,1,2.017,VANINA,4552 3317,,13,43,Teatro,,
COMP DE MARÍA,1,2017,1,2.017,VERONICA,15492 7749,,J,46,Teatro,,
COMP MARIA,1,2017,1,2.017,VANINA,4552 3317,,12,67,Teatro,,
COMPAÑÍA DE MARIA,1,2019,1,2.019,VANINA,452 3317  1537770412,,23,61,Teatro,,
CONVIVENCIA,1,2017,1,2.017,MIRANDA,4501 5800,,J,46,Teatro,,
CONVIVENCIAS,1,2019,1,2.019,LEILA,4501 1684  153103 1809,,1,24,Teatro,,
COPELO,1,2019,1,2.019,MARCELA,115385 9890,,2,105,Teatro,,
COSERVAC. DE LA FE,1,2018,1,2.018,JULIANA,15335 80631,,5,25,Teatro,,
CREA  SEÑA R 5 PAGA,1,2024,1,2.024,SOFIA,1157379690,,1,21,Teatro,,
CREAR,1,2019,1,2.019,ALEJANDRA,113821 9059,,2,30,Teatro,,
CRISTO REDENTOR,1,2018,1,2.018,VERONICA,4797 7524 155813 3176,,J,42,Teatro,,
CRISTO REY,1,2019,1,2.019,VANINA,4542 2737 1544345817,,J,60,Teatro,,
CRISTOFO COLOMBO,1,2019,1,2.019,MARIA PAULA,4781 0060 1559 579077,,1,84,Teatro,,
CRISTOFORO COLOM,1,2018,1,2.018,LAURA,4781 0060  1138250342,,1,50,Teatro,,
CRISTOFORO COLOMBO,1,2018,1,2.018,LAURA,4781 0060  1138825 0342,,1,50,Teatro,,
CRISTÓFORO COLOMBO,1,2024,1,2.024,PAULA,1159579077,,3,83,Teatro,,
CUENTOS CON GRANADEROS Y SAN MARTIN,1,2025,1,2.025,VANINA,1168777944,,,,Viajera,,
CULT. ROCA (FAC 477),1,2025,1,2.025,DANIELA,1154757329,,2,64,Teatro,,
CULTURAL ITALIANO,1,2019,1,2.019,MARIANELA,4790 4148 1522592596,,4,52,Teatro,,
CULTURAL ROCA  $90.000,1,2025,1,2.025,DANIELA,1154757329,,1,46,Teatro,,
Corazón eucaristico de Jesus,1,2017,1,2.017,La Plata. Maria Laura,0221 156381974,,2,53,Teatro,,
DA VINCI BOLULOGN,1,2017,1,2.017,MARIA,15683 90047,,5,55,Teatro,,
DA VINCI BOULOGNE,1,2019,1,2.019,VERONICA,154171 2732,,SEC,38,Teatro,,
DALMACIO VELEZ SARSFIELD,1,2024,1,2.024,ADRY,1158539211,secreinicial@institutovelez.edu.ar,,,Viajera,,
DAMICCI,1,2024,1,2.024,ANITA,1160161197,,1,18,Teatro,,
DE LA PAZ   $56.000.-,1,2025,1,2.025,MARIANELA,1161124541,,4,13,Teatro,,
DE LAS ISLAS  $180.000,1,2025,1,2.025,MARCE,1159349568,,4,42,Teatro,,
DEBORA GABRIELI,1,2025,1,2.025,DEBORA,1169996648,,5,7,Teatro,,
DEL SALVADOR,1,2019,1,2.019,CAROLINA,5237 2500 INT 131 1561409119,,J,75,Teatro,,
DI BRUNO A 16 AGOS,1,2017,1,2.017,ROBERTO,4776 4529,,1,56,Teatro,,
DILCÍSIMO NOMNBRE,1,2019,1,2.019,CAROLINA SASO,4541 9796  1533646416,,J,37,Teatro,,
DIVINO ROSTRO,1,2018,1,2.018,MAIRA ROSETI,4982 5277,,J,43,Teatro,,
DON BOSCO,1,2024,1,2.024,CAROLINA,1149147580,,4,52,Teatro,,
DOS TIPO EL REGALO,1,2024,1,2.024,LACREZE 2950,1167566911,nivel_primario@ievp.com.ar,,,Viajera,,
DOS TIPOS AUDACES Y EL REGALO,1,2025,1,2.025,FERNANDA,1154862595,,,,Viajera,,
DOS TIPOS Y REGALO,1,2025,1,2.025,MARCELA VICE,1137938066,,,,Viajera,,
DUENDE ROJO,1,2024,1,2.024,,1165922601,,,,Viajera,,
DULCE FRUTILLITA,1,2019,1,2.019,KARINA,02320 665843  1549742438,,J,66,Teatro,,
DULCISIMO NOMBRE,1,2017,1,2.017,NORA,4541 9796,,23,41,Teatro,,
E  LAMARCA BALLESTER,1,2019,1,2.019,PATRICIA,4768 1899  156137 2284,,4,60,Teatro,,
E 1 V DEVOTO,1,2019,1,2.019,ROSARIO,4501 8138  116922 8982,,12,24,Teatro,,
EDER SUR,1,2017,1,2.017,YANINA,02225 421201,,1,21,Teatro,,
EDMUNDO DAMICI,1,2025,1,2.025,SILVIA DIRE,1156075319,,,,Viajera,,
EDUC TEC 1 GRAND BOURG,1,2019,1,2.019,DANIEL GONZALEZ,02320 480129 / 112180 5994,,SEC,38,Teatro,,
EL LUCERO AL 7,1,2017,1,2.017,MARIELA,4898 9153,,3,13,Teatro,,
EL TESORO,1,2025,1,2.025,RUTH DIRE,1168736939,,,,Viajera,,
EL trebol,1,2022,1,2.022,LAURA,11494912109,,2,36,Teatro,,
ELMINA PAZ,1,2017,1,2.017,CAROLNA,154914 7580,,1,60,Teatro,,
ELMIRA PAZ DE HAEDO,1,2017,1,2.017,DANIELA,15318 32958,,SEC,73,Teatro,,
ELMIRA PAZ HAEDO,1,2017,1,2.017,DANIELA,1531832 958,,SEC,75,Teatro,,
EMILIA HURTUBISE,1,2025,1,2.025,EMILIE,1158317430,,,7,Teatro,,
EMILIO LAMARCA,1,2019,1,2.019,NOERLI MARTINES,4768 1899  114095 3925,,J,32,Teatro,,
EMILIO LAMARCA BALLEST,1,2019,1,2.019,PATRICIA,4768 1899  11613 2284,,54,60,Teatro,,
EMP,1,2017,1,2.017,54,176,,,157,Teatro,,
EP 1 F. VARELA,1,2022,1,2.022,LORENA GIME,43551170 /1165011431,,J,58,Teatro,,
EP 10 HURLINGHAN,1,2017,1,2.017,PATRICIA1565590564,4651 7550,,1,35,Teatro,,
EP 115 MATANZA,1,2019,1,2.019,STELLA MARIS,4441 0949  1536592294,,6,49,Teatro,,
EP 147 C EVITA,1,2019,1,2.019,MIRNA,4487 5117 1164 474466,,6,50,Teatro,,
EP 149  C EVITA,1,2018,1,2.018,MARIAN,4487 4278 112190 2432,,2,55,Teatro,,
EP 149 EVITA,1,2018,1,2.018,GABRIELA ROSALES,4487 4278  155928 7183,,5,33,Teatro,,
EP 19 MORON,1,2019,1,2.019,NANCY,112582 3581,,4,36,Teatro,,
EP 85 SAN MARTIN,1,2017,1,2.017,SILVIA,4713 1459,,2,47,Teatro,,
EP 96 I CASANOVA,1,2017,1,2.017,SANDRA 46253154,4485 1061,,4,37,Teatro,,
EP12 ITUZAINGO,1,2017,1,2.017,NANCY,153296 7310,,3,80,Teatro,,
EP15 ITUZAINGO,1,2018,1,2.018,ADRIANA,4624 7772   153169 7681,,12,70,Teatro,,
EPB 55 MORENO,1,2017,1,2.017,ALICIA,113461 7220,,5,50,Teatro,,
EPICO  2 dist 18,1,2019,1,2.019,MARTIN LOPEZ,4566 9158 1540239423,,2,66,Teatro,,
ERNESTO SABATO,1,2019,1,2.019,ALICIA,4452 2622  15595 40605,,4,50,Teatro,,
ESBA LUGANO,1,2019,1,2.019,MARINA,4604 0202  1568335531,,3,42,Teatro,,
ESC  M,1,2017,1,2.017,MONICA 4880 6556,155248 9813,,J,21,Teatro,,
ESC 1 DIST 17,1,2017,1,2.017,MARIA FERNANDA,4501 0529,,2,42,Teatro,,
ESC 1 VILLA PARQUE,1,2022,1,2.022,ROSARIO,1169228982,,,25,Teatro,,
ESC 10 DIST 12,1,2025,1,2.025,NINA,1123404575,,5,29,Teatro,,
ESC 12 DIST 15,1,2018,1,2.018,MIRIAM LEDESMA,113416 0605,,123,140,Teatro,,
ESC 12 DIST0,1,2019,1,2.019,MARIANA FABER,155846 2222,,2,28,Teatro,,
ESC 13 CAP SARMIENTO,1,2018,1,2.018,SEBASTIAN GONZALEZ,02478 481927 /247815442058,,5,45,Teatro,,
ESC 14 MEDIA MORON,1,2019,1,2.019,MONICA,4692 2921  1159270898,,SEC,54,Teatro,,
ESC 20 DIST 7,1,2017,1,2.017,MARTA,4902 1431,,12,46,Teatro,,
ESC 21 DIS14,1,2019,1,2.019,GISELA,4854 7859 / 155495 0503,,25,40,Teatro,,
ESC 4 DIST 16,1,2018,1,2.018,FABIANA O ADRIANA,4571 4813  114435 8045,,1,106,Teatro,,
ESC 4 JIN A DIST 9,1,2018,1,2.018,NATALIA,4821 0057  156965 9100,,J,90,Teatro,,
ESC 5 DE HURLINGHAN,1,2018,1,2.018,VALERIA,153241 0626,,J,31,Teatro,,
ESC 5 DIST 17,1,2017,1,2.017,MARIA ROSA( CATA),4501 1166,,45,47,Teatro,,
ESC 5 VIRREYES,1,2018,1,2.018,VIVIAN,4714 1493  15680202,,36,38,Teatro,,
ESC 502 HURLINGHAN,1,2019,1,2.019,AILIN,4459 1749  1563217956,,J,25,Teatro,,
ESC 6 DIST 11,1,2019,1,2.019,SABRINA,4631 5978  156308 4220,,"1,2,3,4",120,Teatro,,
ESC 7,1,2018,1,2.018,ROXANA,153849 8508,,J,40,Teatro,,
ESC 7 REP MEXICO,1,2018,1,2.018,ROSARIO BIBLIO,4581 6082  1169228982,,1,43,Teatro,,
ESC 7 VILLA DOMINICO,1,2018,1,2.018,ROSARIO,116922 8982,,,42,Teatro,,
ESC 78 LAFERERRE,1,2019,1,2.019,MARCELA VANESA,156503 9398  1558726489,,3,60,Teatro,,
ESC 8 JINA DIST9,1,2018,1,2.018,ANALUCIA,4771 0235  1558176173,,J,48,Teatro,,
ESC 89 SAN JUSTO,1,2017,1,2.017,NANCY,4484 9094,,4,45,Teatro,,
ESC EV DEVOTO,1,2017,1,2.017,GLADYS,4503 0534,,123,77,Teatro,,
ESC EVAN DEVOTO,1,2017,1,2.017,GLADYS,4503 0534,,457,38,Teatro,,
ESC GRAL BELGRANO,1,2025,1,2.025,SOFIA,1169502144,,5,40,Teatro,,
ESC MARTINEZ,1,2017,1,2.017,ANALIA,4717 6700,,J,26,Teatro,,
ESC MODELO BELLA VISTA,1,2024,1,2.024,SAN MIGUEL BELLAVISTA,33708698259,secretariadeprimaria@modelobellavista.com.ar,,,Viajera,,
ESCUELA ARGENTINA,1,2019,1,2.019,BEATRIZ DIRE,4553 3904  1559456805,,J,54,Teatro,,
ESWC INT 16,1,2024,1,2.024,MARISA,1151325095,,INT,7,Teatro,,
ESÍRITU SANTO,1,2017,1,2.017,LAURA,4581 4640,,5,43,Teatro,,
ETEI,1,2017,1,2.017,MARISA,156951 0881,,45,20,Teatro,,
EVANG  DE SAN JUSTO 90000,1,2025,1,2.025,CESIA,1138899609,,3,31,Teatro,,
EVANG AMERICANO JJPAZ,1,2019,1,2.019,MARIA LAURA,4504 3900  1563764815,,1,103,Teatro,,
EVANG ARGENT,1,2017,1,2.017,MARTIN VIAJES,1540 239423,,3,78,Teatro,,
EVANG BS AS,1,2019,1,2.019,MARIA LUZ SANDRA,4788 0445  1569961 022,,J,62,Teatro,,
EVANG BS AS CABA,1,2019,1,2.019,ROMINA,4788 0045  1158089747,,45,43,Teatro,,
EVANG LUGANO,1,2017,1,2.017,VANESA,4304 0202,,2,64,Teatro,,
EVANG. DE SAN JUSTO,1,2025,1,2.025,CESIA,1138899609,,3,26,Teatro,,
Escuela,1,,0,0,Contacto,Teléfono,Email,Nivel,,Sección,,
F BRANDSEN,1,2019,1,2.019,JESICA,02223 15431927,,34,50,Teatro,,
F DI BRUNO,1,2017,1,2.017,GABREILA,11392 17182,,3,45,Teatro,,
F. SAN VICENTE PAUL,1,2018,1,2.018,CLAUDIA FILOSA,4504 6139     1545390 393,,7,55,Teatro,,
FASTA SAN VICENTE DE PAUL,1,2025,1,2.025,CANDE,1132290429,,3,58,Teatro,,
FASTA SAN VTE PAUL,1,2022,1,2.022,CAMILA,1140938040,,3,63,Teatro,,
FCO FA DI BRUNO,1,2018,1,2.018,ADRIANA,4771 1975  153119 6131,,1,49,Teatro,,
FCO. FA DI BRUNO,1,2018,1,2.018,MARILINA,4771 1975  1530753 689,,3,45,Teatro,,
FCO. JAVIER,1,2017,1,2.017,ANGELA DE ROSA,4831 0233,,123,112,Teatro,,
FEDERICO BRANSEN,1,2019,1,2.019,SUSANA SANDRA,02223 442180  02223 15430373,,45,49,Teatro,,
FELICIA PALACIO,1,2018,1,2.018,LAURA,15301 77436,,2,33,Teatro,,
FELISA PALACIOS,1,2018,1,2.018,LAURA,153017 7436,,J,29,Teatro,,
FLORIDA DAY SCHOOL,1,2022,1,2.022,KARINA,1130081122,,4,84,Teatro,,
FRANCISCO JAVIER,1,2019,1,2.019,ANGELICA,4831 0233  156111 1839,,1,56,Teatro,,
FRENCH BANDFIELD,1,2017,1,2.017,SILVANA,4202 4481,,4,50,Teatro,,
FROEBEL  $90.000,1,2025,1,2.025,JAQUELINE,1131621862,,2,48,Teatro,,
G RAWSON,1,2017,1,2.017,MARCELA,4901 1234,,12,73,Teatro,,
GABRIELA MISTRAL,1,2018,1,2.018,ELDA,4663 4036   1139547857,,4,60,Teatro,,
GRAL SAN MARTIN,1,2018,1,2.018,ADRIANA MASA,4458 3398  1569257472,,123,51,Teatro,,
GRAN SEMANA,1,2019,1,2.019,90,140,,,128,Teatro,,
GUADALUPE $45.000.- HICE FACT,1,2025,1,2.025,LETICIA,1158266792,,1,44,Teatro,,
"GUADALUPE,",1,2017,1,2.017,M ELSA,4824 6093,,2,49,Teatro,,
HAM VTE LOPEZ,1,2017,1,2.017,TERESA 122,4874 3100,,2,72,Teatro,,
HANSEN,1,2018,1,2.018,ESTELA,4703 3051  1579744158,,J,63,Teatro,,
HERCULES,1,2018,1,2.018,GRISELDA,4636 0660  1568372564,,J,33,Teatro,,
HIJAS DE JESUS,1,2017,1,2.017,OLGA,4542 6441,,123,90,Teatro,,
HOGA RAFAEL,1,2017,1,2.017,JULIETA,4568 1100,,23,54,Teatro,,
HOGAR DEL PINO,1,2025,1,2.025,STELLA MARIS AGENCIA,1161044632,,3,35,Teatro,,
HOGAR SAN BENITO,1,2019,1,2.019,FLORENCIA,115970 3566,,123,82,Teatro,,
HOMBRE NUEVO,1,2019,1,2.019,GABRIELA,4631 4594  114049772,,2,36,Teatro,,
HOME SCHOOL $90.000,1,2025,1,2.025,JENI  MONZON,1121575264,,3,45,Teatro,,
HORACIO WATSON,1,2022,1,2.022,BELEN,1150223802 / 4521 5180,,3,25,Teatro,,
HUDSON,1,2017,1,2.017,PAULA,15229 36234,,4,36,Teatro,,
HUELLAS  SF,1,2024,1,2.024,CAROLINA,11500314165,,45,50,Teatro,,
HUERO DE LOS OLIVOS,1,2019,1,2.019,FABIANA,116498 9563,,1,44,Teatro,,
HUERTOS,1,2017,1,2.017,LAURA 1130038811,4942 4585,,2,58,Teatro,,
HULL CORDEL,1,2018,1,2.018,CELESTE,4542 6595 1562883043,,5,81,Teatro,,
I. CARDOSO CASEROS,1,2022,1,2.022,MARIA VILLAGRA,1565424998,,23,115,Teatro,,
ICE DEVOTO,1,2017,1,2.017,GLADYS,4503 0534,,J,44,Teatro,,
IESHURUM,1,2019,1,2.019,GABRIELA,4804 8918 / 1552096792,,J,43,Teatro,,
ILEI,1,2017,1,2.017,MARISA,156951 0881,,12,30,Teatro,,
IM CONCEPCIÓN,1,2017,1,2.017,HERNAN,15444 83929,,45,109,Teatro,,
INCORP SAN ANDRES,1,2019,1,2.019,CINTIA ARIAS,153584 6919,,4,34,Teatro,,
INFANCIA,1,2017,1,2.017,LAURA,4862 2513,,3,22,Teatro,,
INMACULADA CONCEPC,1,2019,1,2.019,HERNAN,4911 1345  154448 3929,,2,60,Teatro,,
INMACULADA SAN MARTIN,1,2025,1,2.025,MARCELA,1154046657,,3,24,Teatro,,
INMACULADA SM,1,2019,1,2.019,ANGELICA,4753 8828  1562 029786,,3,31,Teatro,,
INST ADVENT FLORIDA,1,2019,1,2.019,ALEJANDRA,4760 0674   0291154705165,,1,30,Teatro,,
INST ADVENTISTA,1,2017,1,2.017,CELESTE,156602 2728,,J,26,Teatro,,
INST APOSTOL,1,2018,1,2.018,CECILIA,4854 6637,,4,46,Teatro,,
INST BALLESTER  V. LOPEZ $387.000,1,2025,1,2.025,ANA,1122508653,,2,43,Teatro,,
INST DE LAS ISLAA,1,2024,1,2.024,MARCELA,1159349568,,3,47,Teatro,,
INST GRAL SAN MART,1,2018,1,2.018,ADRIANA MAssA,4458 3398   156925 7472,,123,67,Teatro,,
INST JUAN GAYNOR,1,2024,1,2.024,PAOLA,1132018604,,J1,71,Teatro,,
INST LUIS SIEgEL POLVORINES,1,2019,1,2.019,ADRIANA,4660 3181  153260 1607,,4,90,Teatro,,
INST NUEVOS AIRES,1,2018,1,2.018,SILVINA,4567 8970  15658 80716,,2,43,Teatro,,
INST PARROQUIAL,1,2019,1,2.019,CECILIA,4635 3792  1169790263,,67,48,Teatro,,
INST SANTA MARIA,1,2019,1,2.019,GISEL,4921 7265  1535750461,,2,60,Teatro,,
INSTITUO MAIPU,1,2017,1,2.017,ADRIANA,4753 1989,,3,34,Teatro,,
INSTITUTO CORAZÓN DE JESUS,1,2025,1,2.025,NOEMI,11653344742,,,,Viajera,,
INSTITUTO GLACIAR PERITO MORENO,1,2025,1,2.025,MARIA INES QUIROGA,1136293808,,,,Viajera,,
INT DE LAS ISLAS,1,2017,1,2.017,MARCELA,4784 6434,,2,40,Teatro,,
INT MERCEDES PACHECO,1,2025,1,2.025,MAI CARRICK,1150965657,,4,28,Teatro,,
INTERNAC. DE LA ISLA,1,2018,1,2.018,MARCELA,4784 6434  155934 9568,,2,51,Teatro,,
J 1 CABA,1,2017,1,2.017,MARIELA,155423 1493,,J,25,Teatro,,
J 1 DIST 12,1,2017,1,2.017,ALEJANDRA,4671 5358,,J,23,Teatro,,
J 1 DIST 16,1,2018,1,2.018,FLORENCIA,4571 6014  1551815663,,J,69,Teatro,,
J 10 DIST 9,1,2025,1,2.025,(007) TAMI,1168753222,,j,25,Teatro,,
J 1014 MATANZA,1,2019,1,2.019,PATRICIA,4651 7550  116569 0564,,J,46,Teatro,,
J 15 VTE LOPEZ,1,2019,1,2.019,VIRGINIA,5197 1919  1568 07297,,J,38,Teatro,,
